timestamp,action,symbol,direction,price,bid,ask,spread_pips,quality,trigger,trigger_ccy,ticket,pnl,reason,hours_held
2026-01-30 11:25:09,OPEN,AUDJPYm,sell,108.14300,108.14300,108.16200,1.90,0.7529,quote,JPY,391320372,,,
2026-01-30 13:00:09,CLOSE,AUDJPYm,sell,108.04000,,,,,,,391320372,0.67,JPY MFC returned: 0.38,1.58
