datetime,pair,direction,long_currency,short_currency,long_velocity,entry_price,pips_10,max_high_10,max_low_10,pips_20,max_high_20,max_low_20,pips_40,max_high_40,max_low_40
2008-01-29 20:00:00,GBPUSD,SHORT,USD,GBP,0.031244309999999997,1.5937,-41.000000000002146,-58.00000000000027,-86.49999999999824,115.49999999999949,-132.000000000001,-131.99999999999878,328.49999999999824,-132.000000000001,-403.49999999999886
2008-01-29 20:00:00,NZDUSD,SHORT,USD,NZD,0.031244309999999997,0.70095,-104.50000000000071,-118.00000000000033,-14.999999999999458,54.999999999999496,-140.0000000000001,-72.99999999999973,107.9999999999992,-140.0000000000001,-202.49999999999991
2008-02-14 20:00:00,NZDCHF,SHORT,CHF,NZD,0.04914522000000002,0.74357,-66.0000000000005,-77.4000000000008,-30.69999999999906,56.69999999999953,-87.8000000000001,-69.39999999999947,74.19999999999982,-87.8000000000001,-135.6999999999997
2008-02-15 20:00:00,GBPJPY,SHORT,JPY,GBP,0.008451819999999999,143.57,-79.50000000000159,-161.5000000000009,-51.499999999998636,-15.000000000000568,-171.0000000000008,-51.499999999998636,406.4999999999998,-171.0000000000008,-532.4999999999989
2008-03-18 16:00:00,NZDUSD,SHORT,USD,NZD,0.12362112000000001,0.70095,-104.50000000000071,-118.00000000000033,-14.999999999999458,54.999999999999496,-140.0000000000001,-72.99999999999973,107.9999999999992,-140.0000000000001,-202.49999999999991
2008-03-20 12:00:00,EURGBP,SHORT,GBP,EUR,0.05767738,0.8699,-40.49999999999998,-69.00000000000017,-7.500000000000284,-48.00000000000026,-70.00000000000006,-7.500000000000284,-100.99999999999997,-118.50000000000027,-12.999999999999678
2008-03-20 20:00:00,NZDCHF,LONG,NZD,CHF,0.08124566,0.74357,66.0000000000005,77.4000000000008,30.69999999999906,-56.69999999999953,87.8000000000001,69.39999999999947,-74.19999999999982,87.8000000000001,135.6999999999997
2008-03-24 20:00:00,CHFJPY,LONG,CHF,JPY,0.02114705,84.88,76.00000000000051,115.50000000000011,3.499999999999659,68.99999999999977,132.50000000000028,3.499999999999659,-111.99999999999903,132.50000000000028,255.49999999999926
2008-03-25 08:00:00,AUDUSD,LONG,AUD,USD,0.0668745,0.88191,35.50000000000053,107.20000000000063,39.09999999999969,-30.799999999999716,107.20000000000063,50.999999999999936,-90.00000000000009,107.20000000000063,241.50000000000006
2008-04-03 20:00:00,USDJPY,SHORT,JPY,USD,0.05078429000000001,90.08,-26.999999999999602,-86.49999999999949,-3.999999999999204,-75.49999999999955,-119.50000000000074,-3.999999999999204,70.00000000000028,-119.50000000000074,-153.0000000000001
2008-04-25 12:00:00,EURAUD,LONG,EUR,AUD,0.010877660000000011,1.57195,49.5000000000001,143.9999999999997,129.50000000000017,30.000000000001137,143.9999999999997,129.50000000000017,14.000000000000679,232.49999999999994,129.50000000000017
2008-05-01 04:00:00,CADJPY,SHORT,JPY,CAD,0.034739379999999986,84.21,-105.50000000000068,-169.0000000000012,-7.499999999998863,-117.50000000000114,-189.50000000000102,-7.499999999998863,89.4999999999996,-189.50000000000102,-183.99999999999892
2008-05-12 12:00:00,EURUSD,LONG,EUR,USD,0.0667442,1.38648,99.29999999999994,110.00000000000121,10.099999999999554,-23.499999999998522,159.9000000000017,41.29999999999967,-129.5999999999986,159.9000000000017,283.199999999999
2008-05-16 12:00:00,USDCHF,SHORT,CHF,USD,0.03244115,1.061,61.49999999999878,-3.9999999999995595,-68.99999999999906,-4.500000000000615,-22.999999999999687,-112.99999999999866,-60.00000000000006,-184.9999999999996,-112.99999999999866
2008-06-18 08:00:00,GBPUSD,SHORT,USD,GBP,0.011357249999999985,1.5937,-41.000000000002146,-58.00000000000027,-86.49999999999824,115.49999999999949,-132.000000000001,-131.99999999999878,328.49999999999824,-132.000000000001,-403.49999999999886
2008-06-24 12:00:00,EURCHF,SHORT,CHF,EUR,0.039036600000000005,1.47115,-20.000000000000018,-30.49999999999997,-8.999999999999009,17.499999999999183,-42.50000000000087,-22.499999999998632,53.49999999999966,-100.00000000000009,-154.49999999999963
2008-07-20 20:00:00,EURNZD,LONG,EUR,NZD,0.03716884000000001,1.97676,-148.0999999999999,86.29999999999916,178.90000000000182,132.90000000000023,185.29999999999936,208.09999999999997,128.1999999999983,278.80000000000126,208.09999999999997
2008-07-31 04:00:00,EURJPY,LONG,EUR,JPY,0.05501755999999999,124.9,128.49999999999966,178.9999999999992,11.50000000000091,84.99999999999943,207.49999999999886,11.50000000000091,-212.5,207.49999999999886,421.0000000000008
2008-08-20 20:00:00,EURJPY,SHORT,JPY,EUR,0.10106404,124.9,-128.49999999999966,-178.9999999999992,-11.50000000000091,-84.99999999999943,-207.49999999999886,-11.50000000000091,212.5,-207.49999999999886,-421.0000000000008
2008-09-10 16:00:00,NZDCAD,LONG,NZD,CAD,0.07794694000000002,0.74935,41.200000000000124,54.8000000000004,30.00000000000003,-98.99999999999909,54.8000000000004,124.29999999999941,-91.79999999999966,54.8000000000004,173.09999999999937
2008-10-15 00:00:00,NZDCHF,LONG,NZD,CHF,0.10563124999999998,0.74357,66.0000000000005,77.4000000000008,30.69999999999906,-56.69999999999953,87.8000000000001,69.39999999999947,-74.19999999999982,87.8000000000001,135.6999999999997
2008-10-20 08:00:00,EURUSD,LONG,EUR,USD,0.05964435000000001,1.38648,99.29999999999994,110.00000000000121,10.099999999999554,-23.499999999998522,159.9000000000017,41.29999999999967,-129.5999999999986,159.9000000000017,283.199999999999
