datetime,idx,up_currency,up_crossing_value,up_velocity,up_time_below,up_min_mfc,down_currency,down_crossing_value,down_velocity,down_time_above,down_max_mfc,velocity_diff,velocity_sum,outcome,reached_zero,reached_upper,fell_back,max_mfc,min_mfc_after,time_to_zero,time_to_upper,time_to_fall_back,down_velocity_abs,vel_diff_quartile,depth_bin,height_bin
2008-08-20 20:00:00,920,JPY,-0.14456051,0.04903083666666666,5,-0.29165302,EUR,0.19230103,-0.002749903333333331,3,0.25431237,0.05178073999999999,0.05178073999999999,full_continuation,True,True,False,0.61631741,-0.14456051,5.0,10.0,,0.002749903333333331,Q1_low,shallow_>-0.4,shallow_<0.4
2008-09-10 16:00:00,1012,NZD,-0.13624518,0.04385933,31,-0.63602888,CAD,0.16999082,-0.04522202333333334,29,0.79106265,0.08908135333333334,0.08908135333333334,reached_zero_then_reversed,True,False,True,0.06368204,-0.45210308,5.0,,12.0,0.04522202333333334,Q2,deep_<-0.6,high_>0.6
2008-10-15 00:00:00,1163,NZD,-0.1955568,0.09676134666666665,30,-1.00878382,CHF,0.13449679,-0.11763079333333333,30,1.10179384,0.21439213999999998,0.21439213999999998,full_continuation,True,True,False,0.48127383,-0.1955568,2.0,4.0,,0.11763079333333333,Q4_high,deep_<-0.6,high_>0.6
2008-10-20 08:00:00,1184,EUR,-0.19364029,0.06935304666666668,15,-0.4653404,USD,0.17258814,-0.0643087,14,0.4943114,0.1336617466666667,0.1336617466666667,partial_continuation,True,False,False,0.19933485,-0.19364029,4.0,,,0.0643087,Q3,moderate_-0.6_to_-0.4,moderate_0.4_to_0.6
2008-10-31 00:00:00,1237,NZD,-0.13750826,0.06880078333333334,24,-0.64633533,CHF,0.16514135,-0.06720129,30,0.69660048,0.13600207333333333,0.13600207333333333,full_continuation,True,True,False,0.39090544,-0.13750826,2.0,5.0,,0.06720129,Q3,deep_<-0.6,high_>0.6
2008-11-03 00:00:00,1244,USD,-0.17503642,0.06568156666666666,15,-0.78124344,GBP,0.15410015,-0.06888891666666667,14,0.58857236,0.13457048333333332,0.13457048333333332,full_continuation,True,True,True,0.29442888,-0.23522288,3.0,5.0,17.0,0.06888891666666667,Q3,deep_<-0.6,moderate_0.4_to_0.6
2008-11-04 12:00:00,1253,EUR,-0.1243926,0.046060239999999995,5,-0.26257332,CAD,0.18392147,-0.016965626666666667,9,0.28003314,0.06302586666666667,0.06302586666666667,partial_continuation,True,False,False,0.08320568,-0.1243926,5.0,,,0.016965626666666667,Q1_low,shallow_>-0.4,shallow_<0.4
2008-11-07 08:00:00,1270,USD,-0.13881333,0.012478986666666664,1,-0.20801092,CAD,0.14216909,-0.05925727666666667,15,0.41182738,0.07173626333333333,0.07173626333333333,full_continuation,True,True,False,0.54209196,-0.13881333,10.0,15.0,,0.05925727666666667,Q2,shallow_>-0.4,moderate_0.4_to_0.6
2008-11-10 00:00:00,1275,CHF,-0.18675243,0.026662820000000004,34,-0.57805428,NZD,0.17713557,-0.021836673333333334,8,0.25874204,0.04849949333333334,0.04849949333333334,full_continuation,True,True,False,0.27148011,-0.18675243,5.0,27.0,,0.021836673333333334,Q1_low,moderate_-0.6_to_-0.4,shallow_<0.4
2008-11-13 00:00:00,1293,JPY,-0.18550584,0.04501585333333333,6,-0.33584383,CAD,0.17804071,-0.0034683266666666692,2,0.21691694,0.048484179999999995,0.048484179999999995,partial_continuation,True,False,False,0.12476825,-0.18550584,4.0,,,0.0034683266666666692,Q1_low,shallow_>-0.4,shallow_<0.4
2008-12-07 20:00:00,1398,NZD,-0.15948262,0.050287010000000014,15,-0.43536075,JPY,0.16840374,-0.05899725666666667,24,0.53667361,0.10928426666666669,0.10928426666666669,full_continuation,True,True,False,0.25050358,-0.15948262,7.0,21.0,,0.05899725666666667,Q3,moderate_-0.6_to_-0.4,moderate_0.4_to_0.6
2009-01-27 04:00:00,1623,GBP,-0.1852043,0.03217141000000001,27,-0.96994281,EUR,0.1757031,-0.005090933333333335,1,0.20390136,0.03726234333333334,0.03726234333333334,full_continuation,True,True,False,0.68517772,-0.1852043,5.0,8.0,,0.005090933333333335,Q1_low,deep_<-0.6,shallow_<0.4
2009-01-27 04:00:00,1623,GBP,-0.1852043,0.03217141000000001,27,-0.96994281,JPY,0.17640708,-0.09279076333333335,29,1.12038547,0.12496217333333336,0.12496217333333336,full_continuation,True,True,False,0.68517772,-0.1852043,5.0,8.0,,0.09279076333333335,Q3,deep_<-0.6,high_>0.6
2009-02-06 12:00:00,1674,NZD,-0.15718195,0.041069553333333335,28,-0.55824748,AUD,0.19315266,-0.026715329999999992,9,0.31027331,0.06778488333333332,0.06778488333333332,full_continuation,True,True,False,0.65048022,-0.15718195,4.0,6.0,,0.026715329999999992,Q1_low,moderate_-0.6_to_-0.4,shallow_<0.4
